,Unnamed: 0,Name,Min Price,Max Price,Zip Code
47,47,The BORA 3170,2250,3152.0,90006
48,48,Beaudry,2925,7994.0,90017
49,49,Hallasan,3523,4358.0,90005
51,51,951 S. Oxford,1598,1698.0,90006
52,52,Park Wilshire,1885,2370.0,90057
53,53,Violet on Virgil,2175,2518.0,90004
54,54,Broadway Palace,2057,4044.0,90015
55,55,Linea,3000,4010.0,90064
56,56,The Landmark Los Angeles,5080,7990.0,90025
57,57,Circa LA,2510,4236.0,90015
58,58,Arrive Wakaba,2474,3324.0,90012
60,60,Archer,2455,2594.0,90028
61,61,Lumina Hollywood,2850,3546.0,90028
62,62,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
63,63,Park Fifth,2658,4365.0,90013
64,64,TENTEN Downtown,2400,3874.0,90017
65,65,Josephine DTLA,2433,3520.0,90017
66,66,Nari Koreatown,2160,3520.0,90010
67,67,The Chadwick,1672,3468.0,90004
68,68,Palazzo East Apartments,3110,4182.0,90036
69,69,Madrid,2180,2326.0,90045
70,70,THEA at Metropolis,2738,4355.0,90017
71,71,AVA Toluca Hills,2435,2710.0,90068
72,72,Vision on Wilshire,4503,5073.0,90048
73,73,The Q Playa,2681,4811.0,90045
74,74,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
75,75,ZEN Hollywood,3750,3995.0,90028
76,76,&Pico,3516,4863.0,90064
77,77,One Museum Square,4040,5750.0,90036
78,78,The Gemma,2585,2750.0,90010
79,79,Ferrante,2139,4902.0,90012
80,80,sageLA - Brand New,2395,4670.0,90004
81,81,Arya,4050,4200.0,90034
82,82,The Amara,3145,3330.0,90025
83,83,888 at Grand Hope Park,2435,4350.0,90017
85,85,TENTEN WILSHIRE,2750,4095.0,90017
86,86,VOX,3190,4670.0,90016
87,87,The BORA 3170,2250,3152.0,90006
88,88,Beaudry,2925,7994.0,90017
89,89,Hallasan,3523,4358.0,90005
91,91,951 S. Oxford,1598,1698.0,90006
92,92,Park Wilshire,1885,2370.0,90057
93,93,Violet on Virgil,2175,2518.0,90004
94,94,Broadway Palace,2057,4044.0,90015
95,95,Linea,3000,4010.0,90064
96,96,The Landmark Los Angeles,5080,7990.0,90025
97,97,Circa LA,2510,4236.0,90015
98,98,Arrive Wakaba,2474,3324.0,90012
100,100,Archer,2455,2594.0,90028
101,101,Lumina Hollywood,2850,3546.0,90028
102,102,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
103,103,Park Fifth,2658,4365.0,90013
104,104,TENTEN Downtown,2400,3874.0,90017
105,105,Josephine DTLA,2433,3520.0,90017
106,106,Nari Koreatown,2160,3520.0,90010
107,107,The Chadwick,1672,3468.0,90004
108,108,Palazzo East Apartments,3110,4182.0,90036
109,109,Madrid,2180,2326.0,90045
110,110,THEA at Metropolis,2738,4355.0,90017
111,111,AVA Toluca Hills,2435,2710.0,90068
112,112,Vision on Wilshire,4503,5073.0,90048
113,113,The Q Playa,2681,4811.0,90045
114,114,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
115,115,ZEN Hollywood,3750,3995.0,90028
116,116,&Pico,3516,4863.0,90064
117,117,One Museum Square,4040,5750.0,90036
118,118,The Gemma,2585,2750.0,90010
119,119,Ferrante,2139,4902.0,90012
120,120,sageLA - Brand New,2395,4670.0,90004
121,121,Arya,4050,4200.0,90034
122,122,The Amara,3145,3330.0,90025
123,123,888 at Grand Hope Park,2435,4350.0,90017
125,125,TENTEN WILSHIRE,2750,4095.0,90017
126,126,VOX,3190,4670.0,90016
127,127,The BORA 3170,2250,3152.0,90006
128,128,Beaudry,2925,7994.0,90017
129,129,Hallasan,3523,4358.0,90005
131,131,951 S. Oxford,1598,1698.0,90006
132,132,Park Wilshire,1885,2370.0,90057
133,133,Violet on Virgil,2175,2518.0,90004
134,134,Broadway Palace,2057,4044.0,90015
135,135,Linea,3000,4010.0,90064
136,136,The Landmark Los Angeles,5080,7990.0,90025
137,137,Circa LA,2510,4236.0,90015
138,138,Arrive Wakaba,2474,3324.0,90012
140,140,Archer,2455,2594.0,90028
141,141,Lumina Hollywood,2850,3546.0,90028
142,142,URBANLUX FLEUR PREMIUM,2350,2950.0,90046
143,143,Park Fifth,2658,4365.0,90013
144,144,TENTEN Downtown,2400,3874.0,90017
145,145,Josephine DTLA,2433,3520.0,90017
146,146,Nari Koreatown,2160,3520.0,90010
147,147,The Chadwick,1672,3468.0,90004
148,148,Palazzo East Apartments,3110,4182.0,90036
149,149,Madrid,2180,2326.0,90045
150,150,THEA at Metropolis,2738,4355.0,90017
151,151,AVA Toluca Hills,2435,2710.0,90068
152,152,Vision on Wilshire,4503,5073.0,90048
153,153,The Q Playa,2681,4811.0,90045
154,154,Sentral DTLA at 732 S. Spring,2425,4150.0,90014
155,155,ZEN Hollywood,3750,3995.0,90028
156,156,&Pico,3516,4863.0,90064
157,157,One Museum Square,4040,5750.0,90036
158,158,The Gemma,2585,2750.0,90010
159,159,Ferrante,2139,4902.0,90012
160,160,sageLA - Brand New,2395,4670.0,90004
161,161,Arya,4050,4200.0,90034
162,162,The Amara,3145,3330.0,90025
163,163,888 at Grand Hope Park,2435,4350.0,90017
165,165,TENTEN WILSHIRE,2750,4095.0,90017
166,166,VOX,3190,4670.0,90016
167,167,The BORA 3170,2250,3152.0,90006
168,168,Beaudry,2925,7994.0,90017
169,169,Hallasan,3523,4358.0,90005
171,171,951 S. Oxford,1598,1698.0,90006
172,172,Park Wilshire,1885,2370.0,90057
173,173,Violet on Virgil,2175,2518.0,90004
174,174,Broadway Palace,2057,4044.0,90015
175,175,Linea,3000,4010.0,90064
176,176,The Landmark Los Angeles,5080,7990.0,90025
177,177,Circa LA,2510,4236.0,90015
178,178,Arrive Wakaba,2474,3324.0,90012
180,180,Archer,2455,2594.0,90028
